ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1618;L=3;40;58;L=4;58;85;
1619;L=3;44;63;L=4;63;91;
1620;L=3;49;79;L=4;79;130;
1621;L=3;53;84;L=4;84;136;
1622;L=3;62;105;L=4;105;181;
1623;L=3;61;107;L=4;107;192;
1624;L=3;65;112;L=4;112;198;
1625;L=3;60;105;L=4;105;183;
1626;L=3;26;31;L=4;31;33;
1627;L=3;30;36;L=4;36;39;
1628;L=3;35;52;L=4;52;78;
1629;L=3;39;57;L=4;57;84;
1630;L=3;44;73;L=4;73;123;
1631;L=3;48;78;L=4;78;129;
1632;L=3;53;94;L=4;94;168;
1633;L=3;35;52;L=4;52;78;
1634;L=3;39;57;L=4;57;84;
1635;L=3;44;73;L=4;73;123;
1636;L=3;48;78;L=4;78;129;
1637;L=3;57;99;L=4;99;174;
1638;L=3;64;110;L=4;110;189;
1639;L=3;42;63;L=4;63;93;
1640;L=3;46;68;L=4;68;99;
1641;L=3;51;84;L=4;84;138;
1642;L=3;55;89;L=4;89;144;
1643;L=3;68;118;L=4;118;207;
1644;L=3;29;32;L=4;32;32;
1645;L=3;34;48;L=4;48;71;
1646;L=3;38;53;L=4;53;77;
1647;L=3;43;69;L=4;69;116;
1648;L=3;47;74;L=4;74;122;
1649;L=3;52;90;L=4;90;161;
1650;L=3;38;53;L=4;53;77;
1651;L=3;43;69;L=4;69;116;
1652;L=3;47;74;L=4;74;122;
1653;L=3;56;95;L=4;95;167;
1654;L=3;59;101;L=4;101;176;
1655;L=3;45;64;L=4;64;92;
1656;L=3;50;80;L=4;80;131;
1657;L=3;54;85;L=4;85;137;
1658;L=3;63;106;L=4;106;182;
1659;L=3;62;108;L=4;108;193;
1660;L=3;66;113;L=4;113;199;
1661;L=3;62;108;L=4;108;193;
1662;L=3;34;48;L=4;48;71;
1663;L=3;38;53;L=4;53;77;
1664;L=3;43;69;L=4;69;116;
1665;L=3;47;74;L=4;74;122;
1666;L=3;52;90;L=4;90;161;
1667;L=3;56;95;L=4;95;167;
1668;L=3;59;101;L=4;101;176;
1669;L=3;41;59;L=4;59;86;
1670;L=3;45;64;L=4;64;92;
1671;L=3;50;80;L=4;80;131;
1672;L=3;54;85;L=4;85;137;
1673;L=3;63;106;L=4;106;182;
1674;L=3;66;113;L=4;113;199;
1675;L=3;61;106;L=4;106;184;
1676;L=3;27;32;L=4;32;34;
1677;L=3;31;37;L=4;37;40;
1678;L=3;36;53;L=4;53;79;
1679;L=3;40;58;L=4;58;85;
1680;L=3;45;74;L=4;74;124;
1681;L=3;49;79;L=4;79;130;
1682;L=3;54;95;L=4;95;169;
1683;L=3;36;53;L=4;53;79;
1684;L=3;40;58;L=4;58;85;
1685;L=3;45;74;L=4;74;124;
1686;L=3;49;79;L=4;79;130;
1687;L=3;58;100;L=4;100;175;
1688;L=3;65;111;L=4;111;190;
1689;L=3;43;64;L=4;64;94;
1690;L=3;47;69;L=4;69;100;
1691;L=3;52;85;L=4;85;139;
1692;L=3;56;90;L=4;90;145;
1693;L=3;65;114;L=4;114;202;
1694;L=3;22;24;L=4;24;24;
1695;L=3;27;40;L=4;40;63;
1696;L=3;31;45;L=4;45;69;
1697;L=3;36;61;L=4;61;108;
1698;L=3;40;66;L=4;66;114;
1699;L=3;45;82;L=4;82;153;
1700;L=3;31;45;L=4;45;69;
1701;L=3;36;61;L=4;61;108;
1702;L=3;40;66;L=4;66;114;
1703;L=3;49;87;L=4;87;159;
1704;L=3;52;93;L=4;93;168;
1705;L=3;38;56;L=4;56;84;
1706;L=3;43;72;L=4;72;123;
1707;L=3;47;77;L=4;77;129;
1708;L=3;56;98;L=4;98;174;
1709;L=3;55;100;L=4;100;185;
1710;L=3;59;105;L=4;105;191;
1711;L=3;57;105;L=4;105;193;
1712;L=3;27;40;L=4;40;63;
1713;L=3;31;45;L=4;45;69;
1714;L=3;36;61;L=4;61;108;
1715;L=3;40;66;L=4;66;114;
1716;L=3;45;82;L=4;82;153;
1717;L=3;49;87;L=4;87;159;
1718;L=3;52;93;L=4;93;168;
1719;L=3;34;51;L=4;51;78;
1720;L=3;38;56;L=4;56;84;
1721;L=3;43;72;L=4;72;123;
1722;L=3;47;77;L=4;77;129;
1723;L=3;56;98;L=4;98;174;
1724;L=3;55;100;L=4;100;185;
1725;L=3;59;105;L=4;105;191;
1726;L=3;61;110;L=4;110;199;
1727;L=3;15;16;L=4;16;15;
1728;L=3;20;24;L=4;24;26;
1729;L=3;24;29;L=4;29;32;
1730;L=3;33;50;L=4;50;77;
1731;L=3;29;45;L=4;45;71;
1732;L=3;38;66;L=4;66;116;
1733;L=3;42;71;L=4;71;122;
1734;L=3;47;87;L=4;87;161;
